,course_title,subject,num_lectures,num_reviews,content_duration,price,hourly_price
422,Successful Day Trading with Fibonacci,Business Finance,11,135,2.0,200,100.0
423,Monatlich Geld anlegen für später!,Business Finance,7,135,0.6166666666666667,30,48.648648648648646
424,Master ASP . NET 4 from scratch,Web Development,116,135,16.0,50,3.125
425,The Complete jQuery Course - From Beginner to Professional!,Web Development,188,134,22.5,200,8.88888888888889
426,JavaScript - Tricks and Workarounds,Web Development,67,134,5.0,100,20.0
427,1 hour jQuery,Web Development,25,133,1.0,100,100.0
428,A Beginner's Guide to the Meteor JavaScript Framework,Web Development,40,132,2.0,50,25.0
429,Logo design: How To Design an Awesome Logo in Illustrator,Graphic Design,56,131,5.5,195,35.45454545454545
430,Rapid Website Design with Bootstrap,Web Development,17,131,1.0,200,200.0
431,"Build Ajax Web Apps with Laravel 5.2, Bootstrap and jQuery",Web Development,44,131,5.0,100,20.0
432,Zend Framework 2: Learn the PHP framework ZF2 from scratch,Web Development,37,130,6.5,40,6.153846153846154
433,Professional CSS Flexbox,Web Development,21,130,0.7166666666666667,35,48.83720930232558
434,Piano From Zero To Pro - Beginner Essentials To The Piano,Musical Instruments,52,129,3.5,70,20.0
435,"Server API Development in Swift, Kitura, & Bluemix",Web Development,66,129,20.5,200,9.75609756097561
436,"Angular 2 Complete E-Commerce App Course - Java,Spring,MySQL",Web Development,89,129,20.5,195,9.512195121951219
437,The Complete HTML5 & CSS3 Course Build Professional Websites,Web Development,57,129,4.5,195,43.333333333333336
438,The Complete front end web developer Bootcamp - 14 projects,Web Development,126,129,18.5,200,10.81081081081081
439,Ruby on Rails for Complete Beginners,Web Development,84,129,4.0,35,8.75
440,ASP NET CORE - ANGULAR 2 E-Commerce App,Web Development,171,129,13.0,200,15.384615384615385
441,Financial Management - A Complete Study,Business Finance,527,128,71.5,190,2.6573426573426575
442,Tape Reading: Learn how to read the tape for day trading,Business Finance,32,128,14.0,195,13.928571428571429
443,The Business Graphic Design with Photoshop & Illustrator,Graphic Design,111,128,17.0,200,11.764705882352942
444,Guitar Super System Level 2,Musical Instruments,34,128,1.5,50,33.333333333333336
445,Create Your First Wordpress Site in Under an Hour,Web Development,12,128,1.0,20,20.0
446,Create Complete Web Applications easily with APEX 5,Web Development,81,128,7.0,30,4.285714285714286
447,Try AngularJS: Beginner's Guide to Front End Web Development,Web Development,33,126,4.5,50,11.11111111111111
448,Introduction to Coding with Ruby,Web Development,66,126,3.5,45,12.857142857142858
449,Cross-Platform Development with ASP.NET Core 1.0 MVC,Web Development,64,126,5.5,35,6.363636363636363
450,Build Web Apps Using EmberJS: The Complete Course,Web Development,31,126,4.5,40,8.88888888888889
451,Rockabilly Guitar For Beginners,Musical Instruments,36,125,2.0,40,20.0
452,"HTML5, CSS3 And JavaScript Fundamentals 2016",Web Development,7,125,1.0,115,115.0
453,Python for Beginners: Python Programming Language | Tutorial,Web Development,84,125,5.0,150,30.0
454,Building a Social Network in PHP & MySQL From Scratch,Web Development,78,125,14.0,50,3.5714285714285716
455,WordPress for Beginners - Build Your First Website in 2017,Web Development,88,125,7.0,100,14.285714285714286
456,Become a Rockstar Web Developer - Learn By Coding,Web Development,56,125,11.0,200,18.181818181818183
457,Canva Graphics Design Essential Training For Everyone,Graphic Design,46,124,2.5,200,80.0
458,Learn Accounting. Understand Business.,Business Finance,33,123,5.5,200,36.36363636363637
459,Create an eCommerce Wordpress Website 2016 - New Divi Theme!,Web Development,41,123,4.0,30,7.5
460,Introducción al trading de opciones,Business Finance,43,122,5.5,100,18.181818181818183
461,Canva : Graphic Design Theory Volume1,Graphic Design,29,122,2.5,200,80.0
462,Typography Fundamentals - Feel confident with type!,Graphic Design,14,121,1.0,20,20.0
